registrarname,domains
TRUNKOZ TECHNOLOGIES PVT LTD. D/B/A OWNREGISTRAR.COM,18212
Deutsche Telekom AG,18156
VODIEN INTERNET SOLUTIONS PTE LTD,18153
"POCKETDOMAIN.COM, INC",17969
"Deluxe Small Business Sales, Inc. d/b/a Aplus.net (R14-LROR)",17960
"ONLINENIC, INC. D/B/A CHINA-CHANNEL.COM",17949
NETIM SARL,17887
HOOYOO INFORMATION TECHNOLOGY CO.LTD.,17877
"GKG.NET, INC. (R164-LROR)",17856
BEIJING TONG GUAN XIN TIAN TECHNOLOGY LTD (NOVALTEL),17853
"ENTORNO DIGITAL, S.A.",17765
"IGNITELA, INC",17704
InterNetworX Ltd. & Co. KG,17691
Crazy Domains FZ-LLC R189-ASIA (1291),17583
NameSecure L.L.C. (R58-LROR),17570
Registrar of Domain Names REG.RU LLC,17528
TIRUPATI DOMAINS AND HOSTING PRIVATE LIMITED,17523
TIGER TECHNOLOGIES LLC,17322
"THREADAGENT.COM, INC.",17219
"YENKOS, LLC",17216
HOMESTEAD LIMITED DBA NAMEVAULT.COM,17121
LITEDOMAINS LLC,17090
"MAFF AVENUE, INC.",17047
BLASTDOMAINS LLC,17042
"007NAMES, INC.",17012
NETWORKING4ALL B.V.,16992
"CYANDOMAINS, INC.",16965
Gal Communication (CommuniGal) Ltd.,16898
NAMEBAKE LLC,16877
Hosting Concepts B.V. d/b/a Openprovider,16835
ACQUIREDNAMES LLC,16783
NETTUNER CORP. DBA WEBMASTERS.COM,16729
INSANENAMES LLC,16614
BLOCKHOST LLC,16602
"Regional Network Information Center, JSC dba RU-CENTER (R383-LRMS)",16582
"FLAPPY DOMAIN, INC.",16478
BB ONLINE UK LTD,16345
"Shanghai Meicheng Technology Information Development Co., Ltd. (R1932-LROR)",16300
Afilias GRS Test Account (R194-LRMS),16200
DOMAINOS.CA INC.,16180
Realtime Register B.V. (R292-LRMS),16176
"FUJIAN DOMAINS, INC.",16068
"BEIJING SANFRONT INFORMATION TECHNOLOGY CO., LTD",16024
"DOMAINNAME BRIDGE, INC.",16023
"pair Networks, Inc.d/b/a pairNIC (R103-LROR)",15923
