tld,Sunrise (Start/End Date Sunrise),open,close
xn--czr694b,Start Date Sunrise,1-Sep-14,1-Oct-14
sale,End Date Sunrise,24-Feb-15,25-Apr-15
video,End Date Sunrise,24-Feb-15,25-Apr-15
hamburg,Start Date Sunrise,14-Jul-14,13-Aug-14
gent,Start Date Sunrise,4-Sep-14,4-Oct-14
spiegel,Spec 13 - .BRAND TLD,,
how,End Date Sunrise,10-Nov-14,9-Jan-15
alsace,End Date Sunrise,19-Jan-15,20-Mar-15
wedding,End Date Sunrise,28-Jan-15,30-Mar-15
garden,End Date Sunrise,4-Feb-15,6-Apr-15
fashion,End Date Sunrise,4-Feb-15,6-Apr-15
fit,End Date Sunrise,18-Feb-15,20-Apr-15
samsung,End Date Sunrise,12-Jan-15,15-Mar-15
GOP,End Date Sunrise,28-Apr-14,30-Jun-14
emerck,Spec 13 - .BRAND TLD,,
PARIS,End Date Sunrise,9-Sep-14,11-Nov-14
Firmdale,End Date Sunrise,12-Jan-15,13-Mar-15
flowers,End Date Sunrise,26-Jan-15,27-Mar-15
AXA,Spec 13 - .BRAND TLD,,
top,Start Date Sunrise,15-Oct-14,15-Nov-14
vegas,End Date Sunrise,2-Jun-14,1-Aug-14
archi,End Date Sunrise,8-Apr-14,8-Jun-14
yandex,Spec 13 - .BRAND TLD,,
ONG,Start Date Sunrise,17-Mar-15,16-Apr-15
xn--czru2d,Start Date Sunrise,6-May-14,5-Jun-14
NGO,Start Date Sunrise,17-Mar-15,16-Apr-15
POKER,Start Date Sunrise,5-Feb-15,7-Mar-15
versicherung,Start Date Sunrise,5-Aug-14,4-Sep-14
reise,Start Date Sunrise,1-Jul-14,31-Jul-14
global,End Date Sunrise,25-Jun-14,24-Aug-14
wang,Start Date Sunrise,21-Apr-14,21-May-14
wien,End Date Sunrise,11-Feb-14,30-Apr-14
ovh,Start Date Sunrise,1-Sep-14,1-Oct-14
cooking,End Date Sunrise,15-Apr-14,15-Jun-14
country,End Date Sunrise,15-Apr-14,15-Jun-14
vodka,End Date Sunrise,15-Apr-14,15-Jun-14
horse,End Date Sunrise,15-Apr-14,15-Jun-14
rodeo,End Date Sunrise,15-Apr-14,15-Jun-14
fishing,End Date Sunrise,15-Apr-14,15-Jun-14
KRED,Start Date Sunrise,16-Jan-15,15-Feb-15
williamhill,Spec 13 - .BRAND TLD,,
scot,End Date Sunrise,15-Jul-14,13-Sep-14
WME,Spec 13 - .BRAND TLD,,
guitars,End Date Sunrise,27-Jan-14,28-Mar-14
link,End Date Sunrise,27-Jan-14,28-Mar-14
gift,End Date Sunrise,27-Jan-14,28-Mar-14
pics,End Date Sunrise,27-Jan-14,28-Mar-14
hiv,Start Date Sunrise,21-Jul-14,20-Aug-14
onl,End Date Sunrise,14-Jan-14,15-Mar-14
cologne,Start Date Sunrise,12-Jun-14,13-Jul-14
sexy,End Date Sunrise,11-Dec-13,9-Feb-14
tattoo,End Date Sunrise,11-Dec-13,9-Feb-14
rich,End Date Sunrise,6-Feb-14,7-Apr-14
luxury,End Date Sunrise,5-Feb-14,6-Apr-14
